customerid,invoiceno,stockcode,description,quantity,invoicedate,price,country
20001,INV-2023-041,PROD-061,Wireless Mouse,1,2023-05-10,49.99,USA
20001,INV-2023-041,PROD-062,Mouse Pad XL,1,2023-05-10,15.00,USA
20002,INV-2023-042,PROD-063,Keyboard Wrist Rest,1,2023-05-15,19.99,Canada
20002,INV-2023-042,PROD-064,Cable Clips Pack,5,2023-05-15,9.99,Canada
20003,INV-2023-043,PROD-065,Monitor Mount,1,2023-05-20,79.99,UK
20003,INV-2023-043,PROD-066,VESA Adapter,1,2023-05-20,15.00,UK
20004,INV-2023-044,PROD-067,Desk Fan USB,1,2023-06-01,29.99,Australia
20004,INV-2023-044,PROD-068,LED Strip Lights,2,2023-06-01,24.99,Australia
20005,INV-2023-045,PROD-069,Phone Stand Adjustable,1,2023-06-05,19.99,Germany
20005,INV-2023-045,PROD-070,Wireless Charger Fast,1,2023-06-05,39.99,Germany
20006,INV-2023-046,PROD-071,Laptop Sleeve 15,1,2023-06-10,35.00,France
20006,INV-2023-046,PROD-072,Backpack Tech,1,2023-06-10,79.99,France
20007,INV-2023-047,PROD-073,Travel Adapter,1,2023-06-15,29.99,Japan
20007,INV-2023-047,PROD-074,Travel Pillow,1,2023-06-15,24.99,Japan
20008,INV-2023-048,PROD-075,Noise Cancelling Headphones,1,2023-06-20,249.99,USA
20008,INV-2023-048,PROD-076,Headphone Case,1,2023-06-20,19.99,USA
20009,INV-2023-049,PROD-077,Speaker System 2.1,1,2023-06-25,149.99,Canada
20009,INV-2023-049,PROD-078,Subwoofer,1,2023-06-25,99.99,Canada
20010,INV-2023-050,PROD-079,Sound Bar,1,2023-07-01,199.99,UK
20010,INV-2023-050,PROD-080,Wall Mount Kit,1,2023-07-01,29.99,UK
20011,INV-2023-051,PROD-081,Projector 4K,1,2023-07-05,699.99,Australia
20011,INV-2023-051,PROD-082,Projector Screen,1,2023-07-05,149.99,Australia
20012,INV-2023-053,PROD-083,Wireless Presenter,1,2023-07-10,49.99,Germany
20012,INV-2023-053,PROD-084,Laser Pointer,1,2023-07-10,19.99,Germany
20013,INV-2023-055,PROD-085,Webcam 4K,1,2023-07-15,199.99,USA
20013,INV-2023-055,PROD-086,Tripod Webcam,1,2023-07-15,49.99,USA
20014,INV-2023-057,PROD-087,Ring Light,1,2023-07-20,79.99,Canada
20014,INV-2023-057,PROD-088,Green Screen,1,2023-07-20,49.99,Canada
20015,INV-2023-059,PROD-089,Microphone USB,1,2023-07-25,129.99,UK
20015,INV-2023-059,PROD-090,Boom Arm,1,2023-07-25,79.99,UK
20016,INV-2023-061,PROD-091,Audio Interface,1,2023-08-01,299.99,France
20016,INV-2023-061,PROD-092,MIDI Controller,1,2023-08-01,199.99,France
20017,INV-2023-063,PROD-093,Studio Monitors Pair,1,2023-08-05,399.99,Japan
20017,INV-2023-063,PROD-094,Acoustic Foam Pack,1,2023-08-05,79.99,Japan
20018,INV-2023-065,PROD-095,Smart Thermostat,1,2023-08-10,199.99,USA
20018,INV-2023-065,PROD-096,Smart Lock,1,2023-08-10,249.99,USA
20019,INV-2023-067,PROD-097,Video Doorbell,1,2023-08-15,199.99,Canada
20019,INV-2023-067,PROD-098,Chime Kit,1,2023-08-15,49.99,Canada
20020,INV-2023-069,PROD-099,Smart Plug Pack,4,2023-08-20,49.99,UK
20020,INV-2023-069,PROD-100,Smart Switch,2,2023-08-20,39.99,UK
20001,INV-2023-070,PROD-101,Tablet 10-inch,1,2023-09-01,299.99,USA
20001,INV-2023-070,PROD-102,Tablet Stylus,1,2023-09-01,49.99,USA
20002,INV-2023-071,PROD-103,E-Reader,1,2023-09-05,179.99,Canada
20002,INV-2023-071,PROD-104,E-Reader Cover,1,2023-09-05,29.99,Canada
20003,INV-2023-072,PROD-105,Smartphone 128GB,1,2023-09-10,699.99,UK
20003,INV-2023-072,PROD-106,Phone Case Clear,2,2023-09-10,19.99,UK
20004,INV-2023-073,PROD-107,Smart Watch,1,2023-09-15,399.99,Australia
20004,INV-2023-073,PROD-108,Watch Band Silicone,2,2023-09-15,24.99,Australia
20005,INV-2023-074,PROD-109,Fitness Tracker,1,2023-09-20,149.99,Germany
20005,INV-2023-074,PROD-110,Fitness Band,1,2023-09-20,49.99,Germany
20006,INV-2023-075,PROD-111,Smart Scale,1,2023-09-25,99.99,France
20006,INV-2023-075,PROD-112,Smart Thermometer,1,2023-09-25,79.99,France
20007,INV-2023-076,PROD-113,Smart Air Purifier,1,2023-10-01,299.99,Japan
20007,INV-2023-076,PROD-114,Filter Pack,2,2023-10-01,49.99,Japan
20008,INV-2023-077,PROD-115,Robot Vacuum,1,2023-10-05,399.99,USA
20008,INV-2023-077,PROD-116,Vacuum Filters,2,2023-10-05,39.99,USA
20009,INV-2023-078,PROD-117,Smart Coffee Maker,1,2023-10-10,299.99,Canada
20009,INV-2023-078,PROD-118,Coffee Grinder,1,2023-10-10,149.99,Canada
20010,INV-2023-079,PROD-119,Smart Kettle,1,2023-10-15,129.99,UK
20010,INV-2023-079,PROD-120,Tea Maker,1,2023-10-15,149.99,UK
20011,INV-2023-080,PROD-121,Smart Fridge,1,2023-10-20,1999.99,Australia
20011,INV-2023-080,PROD-122,Smart Oven,1,2023-10-20,599.99,Australia
20012,INV-2023-081,PROD-123,Smart Dishwasher,1,2023-10-25,899.99,Germany
20012,INV-2023-081,PROD-124,Dishwasher Detergent,3,2023-10-25,19.99,Germany
20013,INV-2023-082,PROD-125,Smart Washing Machine,1,2023-11-01,999.99,USA
20013,INV-2023-082,PROD-126,Laundry Detergent,2,2023-11-01,24.99,USA
20014,INV-2023-083,PROD-127,Smart Dryer,1,2023-11-05,799.99,Canada
20014,INV-2023-083,PROD-128,Dryer Sheets Pack,3,2023-11-05,14.99,Canada
20015,INV-2023-084,PROD-129,Smart Iron,1,2023-11-10,199.99,UK
20015,INV-2023-084,PROD-130,Ironing Board,1,2023-11-10,79.99,UK
20016,INV-2023-085,PROD-131,Smart Air Conditioner,1,2023-11-15,699.99,France
20016,INV-2023-085,PROD-132,AC Remote,1,2023-11-15,29.99,France
20017,INV-2023-086,PROD-133,Smart Heater,1,2023-11-20,299.99,Japan
20017,INV-2023-086,PROD-134,Space Heater,1,2023-11-20,149.99,Japan
20018,INV-2023-087,PROD-135,Smart Humidifier,1,2023-11-25,199.99,USA
20018,INV-2023-087,PROD-136,Humidifier Filter,2,2023-11-25,29.99,USA
20019,INV-2023-088,PROD-137,Smart Dehumidifier,1,2023-12-01,299.99,Canada
20019,INV-2023-088,PROD-138,Dehumidifier Filter,1,2023-12-01,39.99,Canada
20020,INV-2023-089,PROD-139,Smart Fan Tower,1,2023-12-05,199.99,UK
20020,INV-2023-089,PROD-140,Tower Fan Remote,1,2023-12-05,29.99,UK
